"Sélectif Régional Slalom (Double) - Porcieu Amblagnieu - Course n°1 | Finale","Porcieu Amblagnieu","Course n°1 | Finale","finale","2017-10-28","Régional","288"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Joey Bercon","K1D","108.04","140.9","250.87","finale a"
"Zoe Bruchon","K1D","108.2","269.71","252.67","finale a"
"Auregane Philip","K1D","108.38","248.25","254.7","finale a"
"Julie Labarelle","K1D","110.65","232.33","280.28","finale a"
"Marie Hilger","K1D","110.85","260.1","282.53","finale a"
"Sophie Staudt","K1D","113.92","327.17","317.13","finale a"
"Elke Saragas","K1D","114.3","316.73","321.4","finale a"
"Tifenn Primet","K1D","115.14","323.94","330.88","finale a"
"Solene Grenier","K1D","115.57","293.02","335.72","finale a"
"Louane Chenal","K1D","116.52","319.19","346.43","finale a"
"Phenicia Dupras","K1D","116.95","415.3","351.28","finale a"
"Marie Juquelier","K1D","117.41","337.01","356.46","finale a"
"Carine Chapuis","K1D","122.2","326.86","410.44","finale a"
"Zoe Gonin","K1D","122.3","362.81","411.56","finale a"
"Solen Friconneau","K1D","122.42","373.98","412.91","finale a"
"Celia Grandadam","K1D","164.43","254.53","886.31","finale a"
"Ilona Martin -laemle","K1DM","118.61","301.67","369.98","finale a"
"Zoe Frey","K1DM","121.73","384.83","405.14","finale a"
"Marie Amelie Silvin","K1DM","124.96","301.34","441.54","finale a"
"Cerise Babin","K1DM","126.97","441.48","464.19","finale a"
"Melyne Jost","K1DM","128.13","423.62","477.25","finale a"
"Kesia Georgel","K1DM","128.45","496.68","480.87","finale a"
"Charlotte Grenier","K1DM","138.15","455.87","590.18","finale a"
"Marion Gillet","K1DM","159.8","466.3","834.14","finale a"
"Pauline Georgeon","K1DM","197.09","556.02","1254.36","finale a"
"Lukas Werro","K1H","86.98","75.09","140.97","finale a"
"Louis Masson","K1H","91.25","231.5","195.34","finale a"
"Jan Rohrer","K1H","91.9","208.26","203.62","finale a"
"Raphael Olla","K1H","92.0","210.5","204.89","finale a"
"Benjamin Dodane","K1H","92.02","220.21","205.15","finale a"
"Kevin Schultz","K1H","92.2","139.12","207.44","finale a"
"Titouan Dupras","K1H","92.28","73.38","208.46","finale a"
"Jonathan Chapatte","K1H","92.29","188.68","208.58","finale a"
"Jules Cresp","K1H","93.35","202.25","222.08","finale a"
"LoÏc Winiarski","K1H","94.0","225.23","230.36","finale a"
"Kawan Thomas","K1H","95.18","185.22","245.38","finale a"
"Robin Pilard","K1H","96.5","239.31","262.19","finale a"
"Mathieu Monier","K1H","96.93","151.95","267.67","finale a"
"Davy Egraz","K1H","97.43","200.63","274.04","finale a"
"Noe Monier","K1H","100.51","284.75","313.26","finale a"
"Vincent Reiter","K1H","100.71","244.9","315.8","finale a"
"Sylvain Curinier","K1H","100.81","286.21","317.08","finale a"
"Jean Philippe Roche","K1H","100.84","283.37","317.46","finale a"
"Alexandre Marin","K1H","101.5","262.52","325.86","finale a"
"Jules Silvin","K1H","101.59","241.66","327.01","finale a"
"Victor Paulais","K1H","101.74","361.17","328.92","finale a"
"Gawaine Chikh","K1H","101.92","264.75","331.21","finale a"
"Thomas Ukalovic","K1H","102.18","271.59","334.52","finale a"
"Teo Bouvier","K1H","102.54","303.33","339.1","finale a"
"Jolan Schmocker","K1H","104.72","332.61","366.86","finale a"
"Eddy Cassard","K1H","105.16","373.07","372.47","finale a"
"Yann Zaepffel","K1H","105.19","273.66","372.85","finale a"
"Axel Kournwsky","K1H","105.98","322.43","382.91","finale a"
"Patrice Campioni","K1H","106.39","320.59","388.13","finale a"
"Djendy Simeant","K1H","106.82","256.08","393.61","finale a"
"Bertrand Bercon","K1H","107.25","282.01","399.08","finale a"
"Loic Trenchant","K1H","107.34","374.51","400.23","finale a"
"Guillaume Maillot","K1H","107.48","310.48","402.01","finale a"
"Hafiz Ali Hassan","K1H","108.43","356.21","414.11","finale a"
"Remy Beal","K1H","108.87","424.47","419.71","finale a"
"Enzo Cozette","K1H","109.8","325.09","431.55","finale a"
"Philippe Babin","K1H","109.93","351.11","433.21","finale a"
"Kilian Cottet","K1H","110.23","382.32","437.03","finale a"
"Yann Leruste","K1H","110.35","332.97","438.56","finale a"
"Louis Mazoyer","K1H","110.76","327.55","443.78","finale a"
"Erwann Buthod","K1H","110.81","369.39","444.41","finale a"
"Luca Gabelli","K1H","111.1","398.67","448.11","finale a"
"Aurelien Merieux Danneaux","K1H","112.12","345.53","461.09","finale a"
"Joachim Saussol","K1H","112.42","415.62","464.91","finale a"
"Yazid Koraichi","K1H","112.54","398.32","466.44","finale a"
"Damien Burteaux","K1H","113.52","360.42","478.92","finale a"
"Jorg Blees","K1H","113.98","385.07","484.78","finale a"
"Dimitry Vandenabeele","K1H","114.55","335.2","492.04","finale a"
"Arthur Talarmain","K1H","115.26","599.63","501.08","finale a"
"Herve Vitali","K1H","117.1","433.35","524.51","finale a"
"Nicolas Demofsqui","K1H","119.88","471.3","559.91","finale a"
"Paul Farrugio","K1H","123.46","541.88","605.49","finale a"
"Theo Beucler","K1H","129.62","478.54","683.93","finale a"
"Martin Dougoud","K1H","134.26","31.52","743.02","finale a"
"Maxime Bottex","K1H","139.56","88.26","810.51","finale a"
"Florian Jarousse","K1H","140.17","465.39","818.28","finale a"
"Matthieu Le Gall","K1H","146.61","153.63","900.28","finale a"
"Hugo Martin -laemle","K1H","154.22","349.54","997.19","finale a"
"Valentin Vibert","K1H","154.33","245.67","998.59","finale a"
"Djimy Kar","K1H","163.82","461.76","1119.43","finale a"
"Emmanuel Triomphe","K1H","165.16","413.07","1136.49","finale a"
"Leonard Painteaux","K1H","174.42","429.15","1254.41","finale a"
"Lucas Dominguez","K1H","200.84","311.03","1590.83","finale a"
"Edouard Chenal","K1HM","100.08","289.87","307.78","finale a"
"Baptiste Gaillard","K1HM","101.25","453.47","322.68","finale a"
"Clement Couchoud","K1HM","102.4","413.96","337.32","finale a"
"Arthur Contamine","K1HM","102.42","379.11","337.58","finale a"
"Antonin Robert","K1HM","103.69","359.32","353.75","finale a"
"Ugo Zanellato","K1HM","106.73","473.32","392.46","finale a"
"Theo Douady","K1HM","107.88","358.94","407.1","finale a"
"Theo Brun","K1HM","108.04","513.2","409.14","finale a"
"Anthony Menissier","K1HM","110.19","546.86","436.52","finale a"
"Clement Grapotte","K1HM","115.54","440.26","504.64","finale a"
"Tanguy Adisson","K1HM","115.69","491.29","506.55","finale a"
"Corentin Georgeon","K1HM","117.03","497.67","523.62","finale a"
"Axel Clement","K1HM","117.69","549.46","532.02","finale a"
"Matheo Dupont","K1HM","120.95","511.38","573.53","finale a"
"Leo Parnotte","K1HM","124.05","710.74","613.01","finale a"
"Luke Ribeyre","K1HM","126.38","851.55","642.68","finale a"
"Antoine Mazoyer","K1HM","126.53","629.75","644.59","finale a"
"Florian Jumetz","K1HM","127.43","517.55","656.05","finale a"
"Cosme Duboc","K1HM","129.45","623.52","681.77","finale a"
"Titouan Sourieau","K1HM","130.36","722.33","693.36","finale a"
"Lucas Mirabel","K1HM","131.72","751.79","710.68","finale a"
"Antonin Castille","K1HM","137.36","602.38","782.49","finale a"
"Oscar Pasteur","K1HM","141.63","588.26","836.87","finale a"
"Victor Lagleyze","K1HM","164.82","439.79","1132.16","finale a"
"Alice Evlachev","C1D","123.97","378.4","353.88","finale b"
"Sophie Staudt","C1D","127.5","467.46","391.35","finale b"
"Solene Grenier","C1D","148.43","603.81","613.45","finale b"
"Gabrielle Kugler","C1D","259.83","504.56","1795.56","finale b"
"Loic Bertoia","C1H","101.37","-","267.74","finale b"
"Julien Paulais","C1H","102.02","272.99","275.62","finale b"
"Loic Trenchant","C1H","105.87","367.74","322.32","finale b"
"Gregoire Guerin","C1H","111.92","612.67","395.68","finale b"
"Frederic Momot","C1H","112.65","308.17","404.54","finale b"
"Etienne Wiche","C1H","114.08","386.79","421.88","finale b"
"Patrice Campioni","C1H","114.29","402.8","424.43","finale b"
"Enki Georgel","C1H","117.28","587.9","460.68","finale b"
"Angelino Castagnetti","C1H","120.49","529.74","499.61","finale b"
"Jean Marc Trenchant","C1H","122.14","428.29","519.63","finale b"
"Julien Lambert","C1H","130.0","591.78","614.95","finale b"
"Benjamin Guyon","C1H","177.4","783.65","1189.78","finale b"
"Baptiste Gaillard","C1HM","141.23","1309.99","751.14","finale b"
"Gaspard Gonseth","C1HM","147.0","1193.5","821.11","finale b"
"Oscar Pasteur","C1HM","165.41","873.87","1044.37","finale b"
"Tao Dersoir","C1HM","200.48","1003.8","1469.68","finale b"
"Axel Clement","C1HM","209.74","879.62","1581.98","finale b"
"Jules Sourieau","C1HM","219.47","980.85","1699.98","finale b"
"Camille Fleuret-Enzo Cozette","C2H","123.42","487.67","467.11","finale b"
"Erwan Degreve-Kilian Godart","C2H","184.12","464.63","1169.79","finale b"
"Maxime Pilard-Robin Pilard","C2H","214.15","1469.5","1517.42","finale b"
"Meryl Steinmann","K1D","106.44","270.21","237.84","finale b"
"Marion Pasquali","K1D","112.66","320.31","307.93","finale b"
"Fanny Mino-vercellio","K1D","117.57","348.05","363.26","finale b"
"Lucie Adisson","K1D","118.65","383.19","375.43","finale b"
"Jessica Joyau","K1D","118.8","376.12","377.12","finale b"
"Ilhame Siraj","K1D","119.72","351.44","387.49","finale b"
"Adeline Roux","K1D","122.95","340.14","423.88","finale b"
"Clara Jannic","K1D","124.33","420.32","439.44","finale b"
"Chloe Faverjon","K1D","124.51","447.95","441.47","finale b"
"Anouk Alberti","K1D","127.54","438.21","475.61","finale b"
"Lucie Fromentoux","K1D","129.53","436.24","498.03","finale b"
"Jocelyne Roupioz","K1D","136.28","868.98","574.1","finale b"
"Nathalie Chapuis","K1D","137.34","659.34","586.05","finale b"
"Zora Grosclaude","K1D","138.85","582.3","603.06","finale b"
"Elise Carbon","K1D","147.86","593.07","704.6","finale b"
"Emilie Armani","K1D","148.94","413.89","716.76","finale b"
"Juliette Ribault","K1D","149.27","616.98","720.48","finale b"
"Raphaelle Hovine","K1D","178.21","471.43","1046.6","finale b"
"Juliette Piot","K1D","182.89","487.92","1099.34","finale b"
"Clarisse Feramus","K1D","310.87","1276.27","2541.52","finale b"
"Helene Bonnet","K1D","411.68","3197.65","3677.53","finale b"
"Cendres Le Floch","K1DM","148.2","696.21","708.42","finale b"
"Charlotte Doucet","K1DM","153.94","615.86","773.1","finale b"
"Camille Vion Delphin","K1DM","167.8","1599.55","929.3","finale b"
"Caroline Guita","K1DM","202.19","2713.98","1316.82","finale b"
"Aurelie Cabrera","K1DM","211.03","909.81","1416.44","finale b"
"Margaux Cornet","K1DM","229.87","954.62","1628.75","finale b"
"Daphnee Guyard","K1DM","295.49","1557.26","2368.21","finale b"
"Loic Bertoia","K1H","88.27","75.08","162.39","finale b"
"Tom Babin","K1H","97.13","293.95","275.22","finale b"
"Alexandre Goujon","K1H","99.75","318.25","308.58","finale b"
"Raphael Massot","K1H","102.0","345.34","337.23","finale b"
"Etienne Wiche","K1H","105.69","268.0","384.22","finale b"
"Kilian Godart","K1H","105.71","344.4","384.47","finale b"
"Guillaume Belet","K1H","106.4","433.25","393.26","finale b"
"Theo Soulier","K1H","106.67","404.96","396.7","finale b"
"Alexis Pacholak","K1H","106.98","316.64","400.64","finale b"
"Frederic Brissaud","K1H","107.44","684.79","406.5","finale b"
"Jonathan Himpens","K1H","108.3","354.32","417.45","finale b"
"Thomas Michel","K1H","110.3","369.52","442.92","finale b"
"Erwan Degreve","K1H","111.66","489.08","460.24","finale b"
"Julien Saguet","K1H","113.46","267.22","483.16","finale b"
"Enzo Seker","K1H","113.63","866.38","485.32","finale b"
"Adrien Jacquemet","K1H","114.57","505.91","497.29","finale b"
"Jerome Talbot","K1H","114.94","436.12","502.0","finale b"
"Matthew Vuillard","K1H","115.67","475.83","511.3","finale b"
"Yves Masson","K1H","116.27","474.37","518.94","finale b"
"Baptiste Duboc","K1H","116.71","469.16","524.54","finale b"
"Jonathan Ferreira","K1H","117.08","603.49","529.25","finale b"
"Aymeric Rivier","K1H","118.14","540.25","542.75","finale b"
"Gilles Barthelemy","K1H","118.15","555.02","542.88","finale b"
"Batiste Ansaldi","K1H","118.35","437.82","545.43","finale b"
"Antoine Luchier","K1H","118.47","808.18","546.95","finale b"
"Matthieu Rousseau","K1H","118.7","908.8","549.88","finale b"
"Tom Mazouat","K1H","120.91","567.7","578.02","finale b"
"Enzo Mazouat","K1H","121.28","598.26","582.74","finale b"
"Jean-marc Suarez","K1H","122.5","660.1","598.27","finale b"
"Serge Doby","K1H","122.5","792.5","598.27","finale b"
"Felix Balas","K1H","123.89","476.99","615.97","finale b"
"Virgile Bessot","K1H","124.11","726.64","618.77","finale b"
"Philippe Couchoud","K1H","124.75","490.5","626.92","finale b"
"Matthieu Fontanez","K1H","125.8","643.99","640.29","finale b"
"Francois Lecuit","K1H","127.46","606.09","661.43","finale b"
"Tom Armand","K1H","128.46","644.55","674.16","finale b"
"Maxence Galy","K1H","128.9","610.84","679.77","finale b"
"Lucas Mancuso","K1H","129.05","709.13","681.68","finale b"
"Esteban Reder-issartel","K1H","129.83","732.09","691.61","finale b"
"Valentin Capel","K1H","130.72","549.08","702.94","finale b"
"Sebastien Chapatte","K1H","131.71","513.28","715.55","finale b"
"Thomas Gossieaux","K1H","132.04","606.09","719.75","finale b"
"Kevin Vienny","K1H","134.12","760.11","746.24","finale b"
"Maxime Pilard","K1H","135.83","601.68","768.01","finale b"
"Matthis Fradin","K1H","136.93","702.07","782.02","finale b"
"Gregoire Guerin","K1H","137.46","131.63","788.77","finale b"
"Yorick Richioud","K1H","138.56","977.27","802.77","finale b"
"Jean Bonnet","K1H","139.18","677.77","810.67","finale b"
"Kevin Cheval","K1H","139.2","702.46","810.92","finale b"
"Julien Lambert","K1H","139.44","863.5","813.98","finale b"
"Mattheo Szkuta","K1H","142.45","1100.04","852.31","finale b"
"Marc Roussel","K1H","147.3","793.74","914.07","finale b"
"Justin Murphy","K1H","150.51","707.63","954.94","finale b"
"Maxime Melmont","K1H","152.44","311.02","979.52","finale b"
"Benjamin Guyon","K1H","164.51","421.09","1133.22","finale b"
"Romain Brouard","K1H","171.29","607.59","1219.55","finale b"
"Jeremy Rouet","K1H","177.62","716.9","1300.15","finale b"
"Laurent Brossat","K1H","186.46","696.33","1412.72","finale b"
"Alexandre Lambert","K1H","188.12","746.46","1433.86","finale b"
"Tom Ollinet","K1H","188.83","2314.54","1442.9","finale b"
"Thibaut Jumetz","K1H","198.96","723.63","1571.89","finale b"
"Virgile Lampert","K1H","203.83","1793.38","1633.91","finale b"
"Hugo Ronseaux - Dury","K1H","217.17","784.72","1803.77","finale b"
"Gabin Chenal","K1HM","117.53","692.37","534.98","finale b"
"Tao Dersoir","K1HM","125.54","635.98","636.98","finale b"
"Maxime Devis","K1HM","126.72","668.97","652.01","finale b"
"Daniel Chambert","K1HM","126.73","764.75","652.13","finale b"
"Thibaud Chovin","K1HM","132.17","671.19","721.41","finale b"
"Sam Pemberton","K1HM","132.85","1108.78","730.06","finale b"
"Sacha Caron","K1HM","134.1","903.48","745.98","finale b"
"Mathys Rene","K1HM","139.52","955.41","815.0","finale b"
"Erwan Masson","K1HM","141.01","807.73","833.97","finale b"
"Raphael Bonnard","K1HM","146.06","1793.71","898.28","finale b"
"Paul Lecomte","K1HM","148.23","759.82","925.91","finale b"
"Mael Hervault","K1HM","149.44","394.52","941.32","finale b"
"Hugo Tellier","K1HM","151.52","691.32","967.8","finale b"
"Gino Benini","K1HM","158.61","350.65","1058.09","finale b"
"Oscar Puc","K1HM","163.82","937.49","1124.43","finale b"
"Emilien Charrier","K1HM","170.45","968.17","1208.85","finale b"
"William Varela","K1HM","177.69","2640.05","1301.05","finale b"
"Leo Bayard","K1HM","178.26","927.29","1308.3","finale b"
"Axel Gondard","K1HM","197.59","2638.13","1554.45","finale b"
"Evan Trenchant","K1HM","212.78","1217.56","1747.87","finale b"
"Maxime Pein","K1HM","244.84","801.59","2156.12","finale b"
"Quentyn Maitre","K1HM","281.62","718.24","2624.46","finale b"
"Enzo Laclef","K1HM","283.25","1261.1","2645.22","finale b"
"Guillaume Mele","K1HM","285.4","1607.66","2672.6","finale b"
"Simon Lescaut","K1HM","341.07","953.63","3381.49","finale b"
