"Sélectif National 3 Slalom Sud-Ouest - Sélectif N3 Slalom Sud Ouest - Finale","Sélectif N3 Slalom Sud Ouest","Finale","finale","2016-04-24","Nationale 3","168"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Luc Sarramea","K1H","94.3","288.09","286.81","finale a"
"Tom Bouchardon","K1H","95.09","337.4","297.21","finale a"
"Paul Pradalie","K1H","95.82","296.94","306.83","finale a"
"Vincent Garcia","K1H","96.36","312.86","313.94","finale a"
"Leo Vuitton","K1H","96.52","338.46","316.05","finale a"
"Valentin Courtiade","K1H","96.66","296.27","317.89","finale a"
"Jean Charles Creusot Walter","K1H","98.01","371.7","335.67","finale a"
"Christophe Prigent","K1H","98.99","322.66","348.58","finale a"
"Tom Zanfini","K1H","99.32","363.57","352.92","finale a"
"Patrick Clerc","K1H","99.95","359.43","361.22","finale a"
"Louis Foissac","K1H","100.17","348.98","364.12","finale a"
"Herve Clerc","K1H","100.18","337.87","364.25","finale a"
"Lucas Lavit","K1H","100.97","339.55","374.66","finale a"
"Denis Delaleux","K1H","101.08","275.19","376.1","finale a"
"Guillaume Affortit","K1H","101.94","374.4","387.43","finale a"
"Bastien Daniel","K1H","102.27","371.45","391.78","finale a"
"Tino Forgues","K1H","102.35","423.41","392.83","finale a"
"Fabien Paleau","K1H","102.45","399.26","394.15","finale a"
"Vincent Ardonceau","K1H","102.5","335.65","394.81","finale a"
"Nour Ait Kaddour","K1H","103.63","415.36","409.69","finale a"
"Etienne Chauvin","K1H","103.66","334.25","410.08","finale a"
"Tanguy Zaninotto","K1H","104.4","364.29","419.83","finale a"
"Gilles Tricard","K1H","104.89","438.45","426.28","finale a"
"Ludovic Gaignon","K1H","104.93","478.3","426.81","finale a"
"Flavien San Augustin","K1H","105.39","227.8","432.87","finale a"
"Marc Lalande","K1H","105.76","371.8","437.74","finale a"
"Olivier Bachelot","K1H","105.88","388.37","439.32","finale a"
"Paul Luquet","K1H","106.88","363.82","452.49","finale a"
"Romain Delpui","K1H","107.19","400.35","456.58","finale a"
"Julien Delaleux","K1H","107.3","305.15","458.03","finale a"
"Natan Brule","K1H","107.55","298.29","461.32","finale a"
"Ugo Rolland","K1H","107.59","406.2","461.85","finale a"
"Elliot Perez","K1H","108.36","415.28","471.99","finale a"
"Kenae Brassier","K1H","109.83","444.21","491.35","finale a"
"Marc Sarramea","K1H","109.91","466.44","492.4","finale a"
"Gregoire Pouille","K1H","110.35","284.53","498.2","finale a"
"Valentin Affortit","K1H","110.51","477.72","500.3","finale a"
"Yanis Clerc","K1H","111.43","465.81","512.42","finale a"
"Frederic Reus","K1H","111.84","449.25","517.82","finale a"
"Nathan Pavot","K1H","113.31","407.45","537.18","finale a"
"Nicolas Ciemniewski","K1H","115.19","441.11","561.94","finale a"
"Clement Caillard","K1H","115.94","349.4","571.82","finale a"
"Guilhem Viguier","K1H","118.96","503.73","611.59","finale a"
"Karl Bouthegourd","K1H","128.08","399.1","731.71","finale a"
"Maxence Merpillat","K1H","150.6","282.45","1028.31","finale a"
"Alexis Dorey","K1H","151.85","284.46","1044.77","finale a"
"Nicolas Saurat","K1H","155.01","358.98","1086.39","finale a"
"Manuel Legros","K1H","155.15","350.92","1088.24","finale a"
"Ludovic Delahaye","K1H","155.82","417.82","1097.06","finale a"
"Antoine Grillier","K1H","156.37","286.1","1104.3","finale a"
"Loup Fauries","K1H","158.14","490.99","1127.62","finale a"
"Alois Bertrand","K1H","159.22","440.15","1141.84","finale a"
"Pierrealain Clerc","K1H","209.03","297.12","1797.86","finale a"
"Oceane Baylacq","C1D","148.97","506.64","684.84","finale b"
"Martin Jouves","C1H","109.9","397.19","428.35","finale b"
"Etienne Chauvin","C1H","113.38","445.55","471.99","finale b"
"Tom Bouchardon","C1H","116.73","450.93","514.01","finale b"
"Arthur Cousty","C1H","123.33","580.22","596.8","finale b"
"Marc Sarramea","C1H","130.88","512.51","691.51","finale b"
"Tomy Dandonneau","C1H","134.69","630.37","739.29","finale b"
"Felix Sperandio","C1H","136.78","640.39","765.51","finale b"
"Vincent Sophian","C1H","142.47","660.96","836.88","finale b"
"Francois Mouttou","C1H","162.87","568.06","1092.76","finale b"
"Carla Lacroix-Camille Santa Cruz","C2D","239.01","653.45","1471.28","finale b"
"Jeremie Palazy-Tom Zanfini","C2H","130.21","539.79","608.86","finale b"
"Tino Forgues-Vincent Sophian","C2H","164.8","719.24","1023.01","finale b"
"Tomy Dandonneau-Gedeon Cothias-faure","C2H","235.93","840.36","1874.67","finale b"
"Agathe Gewiss","K1D","124.98","400.74","506.51","finale b"
"Helene Merlet","K1D","142.06","546.8","705.59","finale b"
"Helene Courtel","K1D","143.29","718.29","719.92","finale b"
"Annie Ughetto","K1D","168.5","559.94","1013.75","finale b"
"Lea Hubert","K1D","169.32","728.37","1023.31","finale b"
"Clarisse Hoogland","K1D","179.75","573.43","1144.88","finale b"
"Jeanne Pecot","K1D","181.25","488.09","1162.35","finale b"
"Lea Pages","K1D","181.82","566.46","1169.01","finale b"
"Clea Tasserit","K1D","194.09","561.3","1312.01","finale b"
"Lyse Brichet","K1D","206.68","834.15","1458.76","finale b"
"Emma Angladette","K1D","209.32","553.93","1489.52","finale b"
"Carla Voineau","K1D","214.8","556.3","1553.4","finale b"
"Ismaella Khattou","K1D","301.42","772.28","2562.97","finale b"
"Alice Pradalie","K1D","307.23","734.17","2630.7","finale b"
"Sebastien Martel","K1H","99.81","339.84","364.38","finale b"
"Sebastien Mouyen Bie","K1H","100.32","323.52","371.1","finale b"
"Arthur Cousty","K1H","101.1","393.43","381.37","finale b"
"Martin Jouves","K1H","103.79","385.96","416.8","finale b"
"Raoul Colin","K1H","104.1","347.79","420.88","finale b"
"Dimitri Thauvin","K1H","106.89","311.49","457.63","finale b"
"Vincent Gardere","K1H","107.12","329.02","460.65","finale b"
"Nathaniel Levy","K1H","107.76","412.8","469.08","finale b"
"Jean Bernard Lacave","K1H","108.63","403.13","480.54","finale b"
"Guillaume Viguier","K1H","109.78","392.86","495.69","finale b"
"Francois Giondini","K1H","110.73","378.43","508.2","finale b"
"Swann Collin","K1H","111.68","458.75","520.71","finale b"
"Baptiste Riviere","K1H","114.6","506.71","559.17","finale b"
"Antonin Maystre","K1H","114.68","428.37","560.22","finale b"
"Loic Thibaut","K1H","115.15","392.16","566.41","finale b"
"Thibault Clerc","K1H","115.22","470.13","567.34","finale b"
"Nicolas Neveu","K1H","115.39","442.64","569.58","finale b"
"Stephane Perilhou","K1H","117.17","461.8","593.02","finale b"
"Felix Sperandio","K1H","118.23","530.87","606.98","finale b"
"Maxime Pourret","K1H","119.31","563.32","621.2","finale b"
"Gael Villar","K1H","122.79","570.52","667.04","finale b"
"Seraphin Margot","K1H","125.05","532.16","696.8","finale b"
"Tonin Desmet","K1H","127.13","676.67","724.2","finale b"
"Marc Cailhol","K1H","127.5","454.89","729.07","finale b"
"Damien Caillard","K1H","128.43","578.95","741.32","finale b"
"Aven Gilham","K1H","128.76","484.35","745.67","finale b"
"Tomy Dandonneau","K1H","129.17","562.34","751.07","finale b"
"Samuel Taillefer","K1H","130.76","504.72","772.01","finale b"
"Elian Giondini","K1H","138.94","498.12","879.74","finale b"
"Eric Vuiet","K1H","139.91","732.18","892.52","finale b"
"Francois Mouttou","K1H","141.08","718.45","907.93","finale b"
"Clement Sempe","K1H","143.3","800.24","937.16","finale b"
"Theophile Prunetfoch","K1H","144.9","621.48","958.24","finale b"
"Anatole Fourcade","K1H","145.89","814.46","971.28","finale b"
"Luca Gri","K1H","148.96","852.7","1011.71","finale b"
"Maxime Garcia","K1H","154.06","303.06","1078.88","finale b"
"Theo Moulia","K1H","157.03","402.91","1118.0","finale b"
"Baptiste San Nicolas","K1H","158.39","754.75","1135.91","finale b"
"Cedric Landreau","K1H","160.31","642.0","1161.2","finale b"
"Laurence Scrimgeour","K1H","164.95","539.83","1222.31","finale b"
"Baptiste Lauroua","K1H","165.21","411.13","1225.73","finale b"
"Maurice Pubert","K1H","165.73","821.57","1232.58","finale b"
"Gauthier Sanchou","K1H","169.45","549.2","1281.57","finale b"
"Renaud Clerc","K1H","177.59","702.87","1388.78","finale b"
"Franck Vanhoutteghem","K1H","178.02","892.99","1394.45","finale b"
"Theo Dunie","K1H","182.34","488.9","1451.34","finale b"
"Jean Cougul","K1H","192.15","914.01","1580.55","finale b"
"Loan Jioux","K1H","192.68","623.02","1587.53","finale b"
"Tom Gonzales","K1H","193.38","712.73","1596.74","finale b"
"Gedeon Cothias-faure","K1H","207.37","723.46","1781.0","finale b"
"Eric Vidou","K1H","215.39","417.12","1886.63","finale b"
"Robin Plancade","K1H","228.48","787.39","2059.03","finale b"
