"Slalom Bertrand-Réals (Double Sélectif Régional) - Cessenon sur Orb - Course n°2 | Finale - 2018-10-07","Cessenon sur Orb","Course n°2 | Finale","finale","2018-10-07","Régional","126"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Hugo Crespo","C1H","106.01","446.47","359.4","finale b"
"Alexis Mercoirol","C1H","106.83","337.75","369.8","finale b"
"Joris Santoro","C1H","110.41","357.85","415.16","finale b"
"Kilian Cottet","C1H","119.17","607.38","526.17","finale b"
"Corentin Georgeon","C1H","126.2","606.51","615.26","finale b"
"Francois Mouttou","C1H","137.22","723.89","754.92","finale b"
"Marine Izac","K1D","110.79","357.86","320.58","finale b"
"Maeva Bachelot","K1D","112.88","367.84","345.19","finale b"
"Marlene Rio","K1D","119.05","424.3","417.85","finale b"
"Chiara Cini","K1D","122.33","549.04","456.47","finale b"
"Camille Santa Cruz","K1D","130.92","499.76","557.61","finale b"
"Pauline Rouilhet","K1D","134.38","604.73","598.36","finale b"
"Caroline Guita","K1D","139.01","683.97","652.89","finale b"
"Helene Merlet","K1D","146.05","956.77","735.78","finale b"
"Celia Roulleau","K1D","155.32","694.2","844.94","finale b"
"Marine Cottu","K1D","170.47","1600.64","1023.33","finale b"
"Marthealice Beaurepaire","K1DM","120.06","454.69","429.74","finale b"
"Dorie Deshogues","K1DM","126.4","564.92","504.39","finale b"
"Valentine Georgeon","K1DM","126.53","645.15","505.92","finale b"
"Tom Deconchy","K1H","83.21","143.63","123.19","finale b"
"Luc Doye","K1H","88.25","291.37","190.26","finale b"
"Herve Clerc","K1H","101.54","363.26","367.1","finale b"
"Matt Vidou","K1H","103.52","437.51","393.44","finale b"
"Jacques Roisin","K1H","105.73","387.74","422.85","finale b"
"Lohan Wyon","K1H","106.39","511.07","431.63","finale b"
"Bruno Lamothe","K1H","106.72","617.36","436.02","finale b"
"Frederic Reus","K1H","107.81","414.32","450.53","finale b"
"Louis Scalbert","K1H","109.88","547.68","478.07","finale b"
"Leo Parnotte","K1H","110.44","515.94","485.52","finale b"
"Abel Boidron","K1H","110.97","481.35","492.57","finale b"
"Baptiste Moret","K1H","111.66","536.55","501.75","finale b"
"Rutger Hoedemaker","K1H","112.3","475.51","510.27","finale b"
"Benoit Pacteau","K1H","112.32","507.46","510.54","finale b"
"Pierrick Bresson","K1H","113.76","494.66","529.7","finale b"
"Remi Dolcin Tillant","K1H","114.49","494.29","539.41","finale b"
"Sylvain Lauth","K1H","116.19","954.82","562.03","finale b"
"Raphael Bonnard","K1H","116.54","490.76","566.69","finale b"
"Arthur Sanchez","K1H","117.21","566.72","575.6","finale b"
"Victor Dhumieres","K1H","118.1","1140.28","587.45","finale b"
"Gael Villar","K1H","120.26","471.29","616.19","finale b"
"Amaury Viguier","K1H","129.16","878.57","734.61","finale b"
"Jules Maitre","K1H","139.11","1013.27","867.01","finale b"
"Mateo Destruel","K1H","139.74","788.44","875.39","finale b"
"Raphael Duval","K1H","140.96","3868.15","891.63","finale b"
"Francois Mouttou","K1H","149.45","1028.69","1004.6","finale b"
"Valerian Touzet","K1H","157.92","2356.76","1117.3","finale b"
"Bary Caron","K1H","199.53","1110.28","1670.97","finale b"
"MatÉo Million","K1H","250.91","890.48","2354.65","finale b"
"Gael Touron","K1HM","124.32","1354.77","670.21","finale b"
"Antonin Bretecher","K1HM","125.69","873.1","688.44","finale b"
"William Varela","K1HM","139.7","995.0","874.86","finale b"
"Raphael Herzlich","K1HM","143.64","926.49","927.29","finale b"
"Wilfrid Pinto De Magalhaes","K1HM","154.95","1915.55","1077.78","finale b"
"Arthur Piqueras","K1HM","157.77","968.48","1115.31","finale b"
"Gael Rivier","K1HM","173.25","1257.2","1321.29","finale b"
