"Championnat RÈgional de Slalom - 16600 Ruelle Sur Touvre - Finale","16600 Ruelle Sur Touvre","Finale","finale","2019-06-23","RÈgional","222"
"AthlËte","CatÈgorie","Score","Valeur","Points course","Finale A/B"
"Thibault Dufour","K1H","102.23","315.56","269.55","finale a"
"Clement Riera","K1H","105.22","413.8","306.33","finale a"
"Adrien Ricaud","K1H","105.95","444.34","315.3","finale a"
"Anthony Roux","K1H","106.26","982.66","319.12","finale a"
"Louis Rathier","K1H","106.86","411.84","326.5","finale a"
"Simon Tourtois","K1H","109.18","388.57","355.03","finale a"
"Matt Vidou","K1H","109.6","449.96","360.19","finale a"
"Antoine Raby","K1H","109.73","342.09","361.79","finale a"
"Julien Doumecq","K1H","110.48","382.39","371.02","finale a"
"Maxime Blondeau","K1H","110.69","334.47","373.6","finale a"
"Thibault Marque","K1H","112.5","462.6","395.86","finale a"
"Emeric Nieser","K1H","113.09","446.51","403.11","finale a"
"Matt…o Rainaud","K1H","114.32","399.56","418.24","finale a"
"Owen Merpillat","K1H","115.58","380.72","433.74","finale a"
"Christophe Billaud","K1H","116.02","486.79","439.15","finale a"
"Jean Luc Pessoni","K1H","130.98","690.96","623.13","finale a"
"Thierry Dugue","K1H","141.69","1103.19","754.85","finale a"
"Damien Launay","K1H","147.64","268.24","828.03","finale a"
"Titouan Conseil","K1H","151.18","294.42","871.56","finale a"
"Dominique Gireaud","K1H","156.96","1187.74","942.65","finale a"
"Edouard Patry","K1H","162.55","403.3","1011.39","finale a"
"Niels Comte","K1HM","113.73","480.56","410.99","finale a"
"Benjamin Roy","K1HM","113.86","662.33","412.58","finale a"
"Nolann Lacoudre","K1HM","117.93","683.79","462.64","finale a"
"Amaury Sokolik","K1HM","119.93","740.37","487.24","finale a"
"Hugo Pellissier","K1HM","121.23","807.65","503.22","finale a"
"Hicham Domti","K1HM","121.26","562.07","503.59","finale a"
"Axel Plumereau","K1HM","127.55","623.73","580.95","finale a"
"Jonah Hanrahan","K1HM","127.83","707.64","584.39","finale a"
"Marius Larenaudie-danton","K1HM","129.09","629.16","599.89","finale a"
"Malo Girardie","K1HM","129.58","629.42","605.92","finale a"
"Theo Haulbert","K1HM","130.3","879.17","614.77","finale a"
"Paul Brochard","K1HM","130.36","818.02","615.51","finale a"
"Lorys Autin","K1HM","131.92","681.71","634.69","finale a"
"Jules Rathier","K1HM","133.38","712.81","652.65","finale a"
"Geraud Gallais","K1HM","135.14","788.93","674.3","finale a"
"Simon Francois","K1HM","140.07","1173.18","734.93","finale a"
"Alice Daniels","C1DM","144.9","620.67","502.32","finale b"
"Gabrielle Chenu","C1DM","152.02","680.24","575.29","finale b"
"Avril Saut","C1DM","161.03","690.8","667.64","finale b"
"Babette Ingenluyff","C1DM","173.53","1676.72","795.74","finale b"
"Clara Brard","C1DM","191.7","984.06","981.96","finale b"
"Jeanne Thermidor","C1DM","217.52","1861.04","1246.58","finale b"
"Charley Sannier Durand","C1H","112.2","382.92","331.46","finale b"
"Antoine Roux","C1H","114.69","376.83","360.63","finale b"
"Olivier Cain","C1H","123.53","440.96","464.17","finale b"
"Arnaud Caillet","C1H","123.83","531.18","467.68","finale b"
"Dyclan Plessis","C1H","124.78","525.01","478.81","finale b"
"Aurele Neveu","C1H","126.36","623.75","497.32","finale b"
"Matt…o Rainaud","C1H","128.54","641.91","522.85","finale b"
"Edouard Patry","C1H","129.07","601.25","529.06","finale b"
"Martin Thermidor","C1H","131.65","692.47","559.27","finale b"
"Baptiste Delemotte","C1H","133.02","478.07","575.32","finale b"
"Tristan Ruiz","C1H","133.98","735.65","586.56","finale b"
"Theo Suire","C1H","143.46","866.45","697.61","finale b"
"Clement Turgis","C1H","146.89","885.45","737.77","finale b"
"Simon Francois","C1HM","154.31","918.28","824.69","finale b"
"Jules Rathier","C1HM","159.1","851.14","880.79","finale b"
"Geraud Gallais","C1HM","164.3","949.01","941.69","finale b"
"Justinien Yvonnet-joubert","C1HM","181.75","1336.91","1146.08","finale b"
"Raphael Balsera","C1HM","193.57","1234.63","1284.53","finale b"
"Antonin Normandin","C1HM","209.96","1226.04","1476.5","finale b"
"Nathan Gibaud","C1HM","293.77","2653.57","2458.15","finale b"
"Simon Tourtois-Antoine Raby","C2H","173.08","1497.47","952.38","finale b"
"Ana Thoraux","K1D","129.55","559.06","427.25","finale b"
"Daphnee Vuilleumier","K1D","137.53","662.75","514.1","finale b"
"Babette Ingenluyff","K1DM","133.96","892.74","475.25","finale b"
"Margot Zaninotto","K1DM","134.98","559.72","486.35","finale b"
"Alice Daniels","K1DM","140.32","1033.71","544.47","finale b"
"Clara Brard","K1DM","140.71","641.61","548.71","finale b"
"Maelle Gerbet","K1DM","156.52","1075.95","720.78","finale b"
"Jeanne Thermidor","K1DM","184.01","1039.95","1019.97","finale b"
"Charlotte Bouron","K1DM","193.4","1099.64","1122.16","finale b"
"Antoine Roux","K1H","104.5","345.78","302.47","finale b"
"Quentin Robert","K1H","105.57","358.65","315.63","finale b"
"Dyclan Plessis","K1H","106.14","430.85","322.64","finale b"
"Olivier Cain","K1H","109.5","384.76","363.96","finale b"
"Tom Delens","K1H","109.57","345.82","364.82","finale b"
"Benjamin Georges","K1H","110.9","458.2","381.18","finale b"
"Tristan Ruiz","K1H","113.13","437.1","408.61","finale b"
"Gaspard Trichard","K1H","113.83","565.82","417.22","finale b"
"Mathys Maniet","K1H","114.3","530.78","423.0","finale b"
"Raphael Grehan","K1H","117.13","671.41","457.8","finale b"
"Clement Brotier","K1H","118.38","443.27","473.17","finale b"
"Mael Verheyde","K1H","118.78","547.82","478.09","finale b"
"Adrien Favennec","K1H","120.77","509.96","502.57","finale b"
"Etienne Lewkowiez","K1H","121.55","560.97","512.16","finale b"
"Lucas Deleplancque","K1H","121.67","654.68","513.64","finale b"
"Nicolas Cappy","K1H","122.26","466.48","520.89","finale b"
"Malo Fevin","K1H","124.76","571.68","551.64","finale b"
"Killian Dal-cin","K1H","125.4","734.01","559.51","finale b"
"Aurele Neveu","K1H","125.69","454.65","563.07","finale b"
"Martin Thermidor","K1H","127.75","887.08","588.41","finale b"
"Theo Papin","K1H","133.25","734.36","656.05","finale b"
"Theo Suire","K1H","135.2","611.38","680.03","finale b"
"Louison Masse","K1H","136.35","835.67","694.18","finale b"
"Baptiste Le Gal-dutheil","K1H","137.47","830.57","707.95","finale b"
"Clement Turgis","K1H","143.69","887.71","784.45","finale b"
"Baptiste Barat","K1H","144.21","767.97","790.84","finale b"
"Loœck Vidal","K1H","145.66","1124.0","808.67","finale b"
"Tristan Gueguen","K1H","147.85","1039.99","835.61","finale b"
"Dylan Sourbe","K1H","148.89","216.09","848.4","finale b"
"Sylvain Pellegrin","K1H","155.72","1375.49","932.4","finale b"
"Ronan Viroulaud-salle","K1HM","136.7","1043.49","698.48","finale b"
"Mael Sicard","K1HM","140.89","1793.56","750.01","finale b"
"Alexandre Lambert","K1HM","142.34","1016.51","767.84","finale b"
"Antonin Normandin","K1HM","143.05","1492.59","776.58","finale b"
"Jules Mauget","K1HM","144.39","820.33","793.06","finale b"
"Louis Labarthe","K1HM","144.5","1045.28","794.41","finale b"
"Mathis Gomez","K1HM","144.93","1503.93","799.7","finale b"
"Camille Luciotto Ribeiro","K1HM","147.59","952.93","832.41","finale b"
"Xavier Pelliser","K1HM","148.85","858.88","847.91","finale b"
"Justinien Yvonnet-joubert","K1HM","154.05","856.61","911.86","finale b"
"Raphael Balsera","K1HM","164.96","1090.28","1046.03","finale b"
"Nathan Gibaud","K1HM","177.42","2016.04","1199.27","finale b"
"Johan Massavie","K1HM","223.11","952.69","1761.19","finale b"
