"Sélectif Régional Slalom (Double) - Isle De La Serre (sault Brénaz) - Course n°1 | Finale - 2016-10-29","Isle De La Serre (sault Brénaz)","Course n°1 | Finale","finale","2016-10-29","Régional","286"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Caoimhe O'ferrall","K1D","141.82","-","489.49","finale a"
"Caroline Bourry","K1D","173.25","145.01","814.64","finale a"
"Solen Friconneau","K1DM","134.02","440.42","408.81","finale a"
"Anouk Alberti","K1DM","136.15","522.16","430.85","finale a"
"Ilona Martin -laemle","K1DM","141.85","390.33","489.81","finale a"
"Adeline Roux","K1DM","144.23","706.82","514.43","finale a"
"Kesia Georgel","K1DM","149.41","538.79","568.01","finale a"
"Cendres Le Floch","K1DM","193.48","-","1023.91","finale a"
"Martin Daviet","K1H","93.34","68.43","113.51","finale a"
"Benjamin Travostino","K1H","93.49","36.75","115.26","finale a"
"Nicolas Baudoin","K1H","94.28","105.65","124.5","finale a"
"Maxime Bottex","K1H","94.48","106.71","126.84","finale a"
"Kevin Schultz","K1H","94.51","102.11","127.19","finale a"
"Benjamin Jacon","K1H","95.73","84.75","141.45","finale a"
"Gurgen Brun","K1H","95.78","72.8","142.03","finale a"
"Matthieu Le Gall","K1H","97.45","179.14","161.55","finale a"
"Leo Fournier","K1H","99.42","171.96","184.58","finale a"
"Kawan Thomas","K1H","100.33","188.31","195.22","finale a"
"Robin Pilard","K1H","100.77","248.71","200.36","finale a"
"Davy Egraz","K1H","102.44","196.33","219.88","finale a"
"Benjamin Dodane","K1H","102.97","233.38","226.08","finale a"
"Raphael Olla","K1H","103.04","215.67","226.9","finale a"
"Pierre Grapotte","K1H","103.28","171.01","229.7","finale a"
"Antoine Roux","K1H","103.28","148.68","229.7","finale a"
"Axel Sleebus","K1H","105.05","246.11","250.39","finale a"
"Mathieu Monier","K1H","105.53","210.15","256.01","finale a"
"Raphael Lassechere","K1H","106.01","211.88","261.62","finale a"
"Tom Zanfini","K1H","107.05","345.11","273.77","finale a"
"Bertrand Bercon","K1H","107.49","234.26","278.92","finale a"
"Sebastien Lepaulard","K1H","107.63","338.51","280.55","finale a"
"Henri Bergognon","K1H","107.89","242.46","283.59","finale a"
"Remi Wolf","K1H","108.04","-","285.35","finale a"
"Thomas Sicre","K1H","108.22","-","287.45","finale a"
"Louis Masson","K1H","108.32","196.07","288.62","finale a"
"Maxence Barouh","K1H","108.39","-","289.44","finale a"
"Erwan Cadio","K1H","108.89","294.51","295.28","finale a"
"Nicolas Detheve","K1H","108.93","295.88","295.75","finale a"
"Corentin Talancieux","K1H","109.13","347.89","298.09","finale a"
"Yoni Beghoura","K1H","109.2","330.96","298.91","finale a"
"Alexis Dorey","K1H","109.6","277.69","303.58","finale a"
"Armand Rakowski","K1H","109.77","-","305.57","finale a"
"Cedric Mace","K1H","110.09","278.58","309.31","finale a"
"Alexandre Bordas","K1H","110.13","331.72","309.78","finale a"
"Antoine Grillier","K1H","110.42","320.91","313.17","finale a"
"Xavier Marie","K1H","111.29","-","323.34","finale a"
"Kevin Rancon","K1H","111.35","336.84","324.04","finale a"
"Olivier Barriere","K1H","112.25","357.6","334.56","finale a"
"Bertrand Dubiez","K1H","112.54","335.49","337.95","finale a"
"Nour Ait Kaddour","K1H","112.82","376.76","341.22","finale a"
"Patrice Campioni","K1H","113.74","348.4","351.98","finale a"
"Jean Philippe Roche","K1H","114.05","244.65","355.6","finale a"
"Teo Bouvier","K1H","115.23","331.99","369.39","finale a"
"Olivier Bourgey","K1H","115.23","-","369.39","finale a"
"Djimy Kar","K1H","116.17","394.94","380.38","finale a"
"Eloi Seemann","K1H","116.26","-","381.44","finale a"
"Emmanuel Triomphe","K1H","117.0","396.41","390.09","finale a"
"Jules Silvin","K1H","117.54","258.06","396.4","finale a"
"Pascal Ferry","K1H","117.58","-","396.87","finale a"
"Maxence Merpillat","K1H","118.21","262.17","404.23","finale a"
"Enzo Cozette","K1H","118.95","376.38","412.88","finale a"
"Nayl Tazi-sidqui","K1H","119.24","326.2","416.27","finale a"
"Nikolas Stanik","K1H","119.26","357.29","416.5","finale a"
"Maxime Melmont","K1H","119.52","343.39","419.54","finale a"
"Romain Gayral","K1H","119.68","380.91","421.41","finale a"
"Samuel Bonella","K1H","120.54","210.73","431.47","finale a"
"Yann Rivallant","K1H","120.87","334.04","435.32","finale a"
"Arnaud Lejeune","K1H","124.8","431.25","481.26","finale a"
"Luca Barone","K1H","163.54","387.7","934.12","finale a"
"Charles Fernandes De Oliveira","K1H","166.44","289.82","968.02","finale a"
"Axel Guilleret","K1H","168.59","531.56","993.15","finale a"
"LoÏc Winiarski","K1HM","107.06","297.85","273.89","finale a"
"Etienne Wiche","K1HM","118.36","368.85","405.98","finale a"
"Noe Monier","K1HM","119.09","356.06","414.52","finale a"
"Yazid Koraichi","K1HM","120.31","496.71","428.78","finale a"
"Gino Benini","K1HM","120.43","470.77","430.18","finale a"
"Aurelien Merieux Danneaux","K1HM","121.46","489.29","442.22","finale a"
"Loic Trenchant","K1HM","122.85","493.89","458.47","finale a"
"Maxence Jehan","K1HM","123.64","421.69","467.7","finale a"
"Baptiste Gaillard","K1HM","124.53","545.58","478.11","finale a"
"Kilian Cottet","K1HM","124.85","484.62","481.85","finale a"
"Batiste Ansaldi","K1HM","124.97","477.54","483.25","finale a"
"Benjamin Guyon","K1HM","125.07","520.99","484.42","finale a"
"Matheo Dejonghe","K1HM","125.18","506.68","485.71","finale a"
"Mael Hervault","K1HM","125.79","577.63","492.84","finale a"
"Mohamed SaÏd Bekkadour","K1HM","126.5","489.02","501.14","finale a"
"Corentin Georgeon","K1HM","127.43","552.34","512.01","finale a"
"Theo Zembalia","K1HM","128.64","519.92","526.15","finale a"
"Nicolas Demofsqui","K1HM","129.28","585.07","533.63","finale a"
"Raphael Massot","K1HM","131.09","496.2","554.79","finale a"
"Edouard Chenal","K1HM","137.4","444.53","628.55","finale a"
"Carine Chapuis","C1D","154.92","-","536.53","finale b"
"Alice Evlachev","C1D","175.52","517.15","737.21","finale b"
"Camille Berson","C1D","334.99","504.42","2290.65","finale b"
"Nikolas Stanik","C1H","122.26","363.26","388.52","finale b"
"Alexandre Georgel","C1H","122.38","425.03","389.85","finale b"
"LÉo Le Moigne","C1H","122.5","374.06","391.19","finale b"
"Maxime Kabir","C1H","122.66","374.26","392.97","finale b"
"Nil Georgel","C1H","124.09","330.3","408.89","finale b"
"Guillaume Gonseth","C1H","125.29","417.6","422.25","finale b"
"Jules Silvin","C1H","127.61","408.43","448.07","finale b"
"Jean Marc Trenchant","C1H","127.84","403.84","450.63","finale b"
"Arthur Perez","C1H","128.35","429.64","456.32","finale b"
"Enzo Guillarme","C1H","130.11","469.42","475.91","finale b"
"Cedric Mace","C1H","131.94","481.77","496.28","finale b"
"Gaspard Perrio","C1H","132.17","404.93","498.84","finale b"
"Karl Bouthegourd","C1H","132.69","456.14","504.63","finale b"
"Matthis Fradin","C1H","134.84","552.42","528.57","finale b"
"Maxence Merpillat","C1H","136.15","-","543.16","finale b"
"Angelino Castagnetti","C1H","138.28","672.36","566.86","finale b"
"Thomas Denais","C1H","138.82","-","572.88","finale b"
"Valentin Lacor","C1H","145.24","840.09","644.35","finale b"
"Lucas Barriere","C1H","161.16","-","821.59","finale b"
"Paul Farrugio","C1H","178.33","683.13","1012.74","finale b"
"Loic Bourgeois","C1H","180.71","466.96","1039.24","finale b"
"Quentin Laplace","C1H","191.25","680.1","1156.58","finale b"
"Antonin Robert","C1HM","172.15","1484.57","943.94","finale b"
"Olivier Barriere-Davy Egraz","C2H","128.62","390.07","394.23","finale b"
"Guillaume Carbon-Maxime Vallin","C2H","137.46","435.7","488.18","finale b"
"Maxence Merpillat-Raphael Lassechere","C2H","138.56","432.96","499.87","finale b"
"Corentin Talancieux-Louis Mazoyer","C2H","141.84","-","534.72","finale b"
"Teo Bouvier-Hugo Martin -laemle","C2H","142.82","476.51","545.13","finale b"
"Titouan Auriol-Dyclan Plessis","C2H","145.42","497.46","572.77","finale b"
"Erwan Degreve-Kilian Godart","C2H","157.87","617.96","705.07","finale b"
"Benjamin Jacon-Lucie Prioux","C2M","131.47","-","308.09","finale b"
"Maeva Auriol-Charles Billon","C2M","208.61","642.45","1059.55","finale b"
"Meryl Steinmann","K1D","124.31","257.83","313.36","finale b"
"Eva Pietracha","K1D","127.31","289.77","344.4","finale b"
"Louise Bichet","K1D","130.45","638.79","376.87","finale b"
"Juliette Rousset","K1D","134.93","395.76","423.22","finale b"
"Emma Miton","K1D","136.39","500.67","438.33","finale b"
"Oceane Dorval","K1D","140.84","459.4","484.36","finale b"
"Clara Gache","K1D","141.17","545.07","487.77","finale b"
"Louane Chenal","K1D","141.59","404.27","492.12","finale b"
"Elke Saragas","K1D","141.68","430.12","493.06","finale b"
"Maeva Auriol","K1D","149.31","396.15","571.98","finale b"
"Lea Ferraris","K1D","150.28","733.32","582.01","finale b"
"Elise Carbon","K1D","153.05","711.7","610.67","finale b"
"Jocelyne Roupioz","K1D","155.81","509.91","639.22","finale b"
"Camille Berson","K1D","156.9","462.9","650.5","finale b"
"Nathalie Chapuis","K1D","162.2","-","705.33","finale b"
"Sarah Monod","K1D","165.39","616.36","738.33","finale b"
"Juliette Ribault","K1D","190.96","945.13","1002.84","finale b"
"Clara Jannic","K1D","214.03","525.4","1241.5","finale b"
"Jonathan Chapatte","K1H","102.07","192.55","220.56","finale b"
"Louis Mazoyer","K1H","108.69","365.7","297.94","finale b"
"Jonathan Himpens","K1H","112.51","420.48","342.6","finale b"
"Kilian Godart","K1H","116.72","376.54","391.81","finale b"
"Thibault Gache","K1H","116.73","-","391.93","finale b"
"Antoine Beguer","K1H","117.37","-","399.41","finale b"
"Hugo Lelieur","K1H","117.55","449.21","401.51","finale b"
"Karl Bouthegourd","K1H","117.67","399.78","402.92","finale b"
"Herve Vitali","K1H","118.82","-","416.36","finale b"
"Romaric Baron","K1H","118.86","-","416.83","finale b"
"Lucas Barriere","K1H","118.92","437.25","417.53","finale b"
"Alexandre Goujon","K1H","119.48","369.74","424.08","finale b"
"Mikael Clanchin","K1H","120.75","314.54","438.92","finale b"
"Hugo Martin -laemle","K1H","121.04","437.76","442.31","finale b"
"Nino Chailan","K1H","121.22","418.57","444.42","finale b"
"Nathaniel Levy","K1H","122.05","420.03","454.12","finale b"
"Loic Bouvier","K1H","122.3","398.19","457.04","finale b"
"Jerome Talbot","K1H","122.37","478.4","457.86","finale b"
"Loic Bourgeois","K1H","122.58","451.05","460.31","finale b"
"Dyclan Plessis","K1H","125.49","377.38","494.33","finale b"
"Remy Beal","K1H","125.49","514.2","494.33","finale b"
"Leo Demazeau","K1H","125.56","367.0","495.15","finale b"
"Adrien Jacquemet","K1H","127.12","555.04","513.38","finale b"
"Titouan Auriol","K1H","130.38","450.41","551.49","finale b"
"Felix Balas","K1H","130.86","605.05","557.1","finale b"
"Quentin Laplace","K1H","131.55","520.17","565.17","finale b"
"Tom Mazouat","K1H","131.73","605.63","567.27","finale b"
"Erwan Degreve","K1H","132.41","502.53","575.22","finale b"
"Hugo Avril","K1H","132.45","540.82","575.69","finale b"
"Louis Pein","K1H","132.49","375.73","576.16","finale b"
"Louis Bouchiat","K1H","132.9","420.66","580.95","finale b"
"Maxime Parigot","K1H","134.39","-","598.37","finale b"
"Aymeric Rivier","K1H","135.27","534.94","608.65","finale b"
"Serge Doby","K1H","136.8","686.68","626.54","finale b"
"Come Champurney","K1H","137.61","568.52","636.01","finale b"
"Laurence Scrimgeour","K1H","138.19","568.42","642.79","finale b"
"Maxime Pilard","K1H","138.42","528.67","645.48","finale b"
"Leonard Painteaux","K1H","138.58","597.25","647.35","finale b"
"Charles Culine","K1H","138.84","556.37","650.39","finale b"
"Charles Billon","K1H","139.15","579.07","654.01","finale b"
"Yves Masson","K1H","139.25","510.48","655.18","finale b"
"Benjamin Bergin","K1H","140.34","-","667.92","finale b"
"Remi Guerinet","K1H","141.05","-","676.22","finale b"
"Thomas Moret","K1H","143.34","-","702.99","finale b"
"Jos Tabone","K1H","144.83","-","720.41","finale b"
"Marc Jungling","K1H","147.04","600.19","746.24","finale b"
"Benjamin Gonthier","K1H","148.68","695.18","765.41","finale b"
"Florent Vallier","K1H","150.32","954.31","784.58","finale b"
"Francois Lecuit","K1H","151.78","637.74","801.65","finale b"
"Paul Farrugio","K1H","153.46","623.94","821.29","finale b"
"Arthur Tebib","K1H","157.89","-","873.07","finale b"
"Kevin Vienny","K1H","159.44","754.05","891.19","finale b"
"Victoryan Krahenbuhl","K1H","165.18","1642.24","958.29","finale b"
"Arthur Brune","K1H","167.9","1062.11","990.09","finale b"
"Jean-marc Suarez","K1H","179.14","-","1121.48","finale b"
"Antoine Gossieaux","K1H","192.07","-","1272.63","finale b"
"Yasin Gulay","K1H","203.48","1033.27","1406.0","finale b"
"Bastien Cothenet","K1H","207.29","720.59","1450.54","finale b"
"Julien Coutet","K1H","218.63","-","1583.1","finale b"
"Pierre Jules Lhommel","K1H","241.8","-","1853.95","finale b"
"Valentin Vibert","K1H","261.33","249.93","2082.25","finale b"
"Djendy Simeant","K1HM","107.19","292.03","280.41","finale b"
"Erwann Buthod","K1HM","120.3","515.67","433.66","finale b"
"Clement Couchoud","K1HM","124.12","616.52","478.32","finale b"
"Luca Gabelli","K1HM","126.12","579.12","501.69","finale b"
"Arthur Contamine","K1HM","131.95","533.02","569.85","finale b"
"Antonin Robert","K1HM","132.43","580.23","575.46","finale b"
"ClÉment Corbeil","K1HM","134.21","-","596.26","finale b"
"Oscar Pasteur","K1HM","141.78","827.28","684.75","finale b"
"Antoine Marion","K1HM","149.63","757.55","776.52","finale b"
"Arthur Talarmain","K1HM","150.49","684.99","786.57","finale b"
"Jonathan Ferreira","K1HM","153.37","801.95","820.24","finale b"
"Matthew Vuillard","K1HM","154.39","614.01","832.16","finale b"
"Daniel Chambert","K1HM","157.73","841.25","871.2","finale b"
"Simon Tourtois","K1HM","166.05","-","968.46","finale b"
"Heino Leveque","K1HM","168.69","-","999.32","finale b"
"Tom Dubourd","K1HM","169.16","1252.39","1004.82","finale b"
"Theo Soulier","K1HM","184.17","582.18","1180.28","finale b"
"Julien Barbut","K1HM","354.04","-","3165.99","finale b"
