"Manche 1 de la Coupe de France National 1 Slalom - 64300 Orthez - Finale - 2019-03-02","64300 Orthez","Finale","finale","2019-03-02","Nationale 1","131"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Charline Berger Martin","C1D","147.2","281.28","316.09","finale b"
"Tifenn Primet","C1D","155.01","267.32","378.46","finale b"
"Julia Budzinski","C1D","160.64","242.02","423.42","finale b"
"Elena Hugues","C1D","161.94","283.45","433.8","finale b"
"Lea Grison","C1D","169.79","314.02","496.49","finale b"
"Jules Bernardet","C1H","105.11","71.64","99.87","finale b"
"Emilien Kempf","C1H","111.5","109.47","158.18","finale b"
"Luc Sarramea","C1H","112.7","103.17","169.14","finale b"
"Thomas L'huillier","C1H","113.52","168.57","176.62","finale b"
"Hector Combes","C1H","113.76","125.86","178.82","finale b"
"Corentin Oulhen","C1H","114.09","99.66","181.83","finale b"
"Hugo Latimier","C1H","114.29","145.4","183.66","finale b"
"Yves Bourhis","C1H","115.26","77.81","192.5","finale b"
"Yann Rivallant","C1H","115.42","138.4","193.97","finale b"
"Loic Trenchant","C1H","115.66","217.33","196.15","finale b"
"Marvin Tulpin","C1H","115.67","197.94","196.25","finale b"
"Adrien Fischer","C1H","116.14","142.49","200.54","finale b"
"Johan Pucheou","C1H","117.89","203.36","216.51","finale b"
"Henri Chenu","C1H","118.6","224.78","222.99","finale b"
"Charly Chassigneux","C1H","119.3","151.39","229.38","finale b"
"Nathan Hossin","C1H","122.3","133.75","256.76","finale b"
"Anthony Roux","C1H","123.62","148.5","268.8","finale b"
"Jean Pierre Bourhis","C1H","131.75","156.49","343.01","finale b"
"Tom Maffeis","C1H","149.51","153.52","505.1","finale b"
"Sebastien De Kerleau","C1H","159.43","71.22","595.64","finale b"
"Theo Roisin","C1H","161.74","108.99","616.73","finale b"
"Baptiste Le Poncin","C1H","169.38","152.2","686.45","finale b"
"Joey Bercon","K1D","113.53","170.52","103.36","finale b"
"Eva Pietracha","K1D","119.95","176.99","157.8","finale b"
"Joana Palermo","K1D","120.76","90.8","164.67","finale b"
"Emma Vuitton","K1D","121.13","105.2","167.81","finale b"
"Laurene Roisin","K1D","121.39","177.25","170.02","finale b"
"Doriane Delassus","K1D","123.89","141.07","191.22","finale b"
"Manon Prioux","K1D","125.87","183.23","208.01","finale b"
"Mylene Ferry","K1D","126.03","175.24","209.37","finale b"
"Lea Wetzel","K1D","137.29","166.16","304.87","finale b"
"Alexane Galmiche","K1D","179.62","167.05","663.86","finale b"
"Charline Berger Martin","K1D","198.56","181.02","824.48","finale b"
"Alixe Degremont","K1D","376.14","97.69","2330.5","finale b"
"Julien Pajaud","K1H","95.64","67.05","57.08","finale b"
"Simon Hene","K1H","96.84","45.73","68.58","finale b"
"Etienne Daille","K1H","97.61","39.12","75.96","finale b"
"Antoine Launay","K1H","97.67","86.7","76.53","finale b"
"Pierre Grapotte","K1H","97.7","88.61","76.82","finale b"
"Tom Deconchy","K1H","99.05","143.6","89.76","finale b"
"Thomas Bersinger","K1H","99.77","54.15","96.66","finale b"
"Edgar Prigent","K1H","99.96","59.4","98.48","finale b"
"Thomas Rosset","K1H","100.14","76.41","100.2","finale b"
"Hugo Regnier","K1H","100.2","79.65","100.78","finale b"
"Isaac Dufrene","K1H","100.77","79.1","106.24","finale b"
"Leo Vuitton","K1H","101.36","149.5","111.9","finale b"
"Hugo Cailhol","K1H","101.98","60.18","117.84","finale b"
"Maxime Bottex","K1H","102.9","76.08","126.65","finale b"
"Florian Busson","K1H","103.25","124.96","130.01","finale b"
"Jean Charles Hacquart","K1H","103.32","120.73","130.68","finale b"
"Guillaume Graille","K1H","103.63","53.36","133.65","finale b"
"Mathieu Doby","K1H","103.66","108.17","133.94","finale b"
"Tom Babin","K1H","103.77","153.23","134.99","finale b"
"Hugo Crepeau","K1H","103.98","92.38","137.0","finale b"
"Raphael Olla","K1H","104.74","136.39","144.29","finale b"
"Thomas Schmitt","K1H","105.13","77.63","148.03","finale b"
"Valentin Brindeau","K1H","106.02","140.54","156.55","finale b"
"Gregoire Guerin","K1H","107.22","87.34","168.05","finale b"
"Nicolas Baudoin","K1H","108.45","72.63","179.84","finale b"
"William Desnos","K1H","109.88","112.69","193.55","finale b"
"Hippolyte Cail","K1H","109.99","143.64","194.6","finale b"
"Corentin Monasse","K1H","112.14","150.52","215.2","finale b"
"Anatole Delassus","K1H","112.93","61.24","222.77","finale b"
"Ludovic Di Nisi","K1H","119.37","51.9","284.49","finale b"
"Thibault Marchand","K1H","124.4","113.6","332.7","finale b"
"Clement Travert","K1H","148.09","57.31","559.72","finale b"
"Loic Bertoia","K1H","149.46","87.84","572.85","finale b"
"Lucas Latimier","K1H","150.3","84.76","580.9","finale b"
"Benoit Guillaume","K1H","151.11","77.65","588.67","finale b"
"Thomas Durand","K1H","157.24","47.14","647.41","finale b"
"Enrick Cunsolo","K1H","158.84","90.54","662.74","finale b"
"Kendaor Le Huitou","K1H","160.91","113.12","682.58","finale b"
"Titouan Dupras","K1H","169.59","72.67","765.76","finale b"
"Raphael Lassechere","K1H","216.64","124.87","1216.66","finale b"
"Sami Rocher","K1H","249.88","73.66","1535.21","finale b"
"Alan Dollo","K1H","253.15","67.88","1566.55","finale b"
