"Manche 1 de la Coupe de France Nationale 1 Slalom - Lannion - Finale - 2018-03-03","Lannion","Finale","finale","2018-03-03","Nationale 1","159"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Berenice Kolenc","K1D","117.35","79.62","105.01","finale a"
"Lea Turmeau","K1D","118.06","89.42","110.75","finale a"
"Flora Huvelin","K1D","118.19","89.19","111.8","finale a"
"Fanchon Janssen","K1D","124.29","114.01","161.1","finale a"
"Anatole Delassus","K1H","96.92","77.92","41.73","finale a"
"Quentin Burgi","K1H","97.05","42.87","42.91","finale a"
"Thomas Bersinger","K1H","97.08","50.26","43.19","finale a"
"Etienne Daille","K1H","97.44","54.93","46.47","finale a"
"Benjamin Renia","K1H","99.16","40.7","62.18","finale a"
"Ludovic Di Nisi","K1H","100.14","70.43","71.13","finale a"
"Yves Prigent","K1H","101.03","35.32","79.26","finale a"
"Sami Rocher","K1H","101.71","82.08","85.47","finale a"
"Martin Dougoud","K1H","103.31","31.52","100.08","finale a"
"Malo Quemeneur","K1H","104.27","52.62","108.85","finale a"
"Fanchon Janssen","C1D","138.55","139.34","216.03","finale b"
"Angele Hug","C1D","141.03","182.95","234.9","finale b"
"Tifenn Primet","C1D","148.36","258.16","290.69","finale b"
"Elena Hugues","C1D","150.51","247.11","307.05","finale b"
"Anne-lise Moisan-ehrwein","C1D","153.43","200.53","329.27","finale b"
"Charline Berger Martin","C1D","155.32","272.42","343.66","finale b"
"Emma Vuitton","C1D","163.48","267.94","405.76","finale b"
"Anais Bernardy","C1D","196.65","260.96","658.2","finale b"
"Laurene Roisin","C1D","201.49","231.77","695.04","finale b"
"Baptiste Delaplace","C1H","111.8","88.57","134.0","finale b"
"Valentin Marteil","C1H","111.91","126.27","134.96","finale b"
"Simon Le Friec","C1H","112.38","92.7","139.05","finale b"
"Yves Bourhis","C1H","113.77","123.02","151.13","finale b"
"Sebastien De Kerleau","C1H","114.9","96.66","160.97","finale b"
"Corentin Oulhen","C1H","115.11","107.27","162.79","finale b"
"Yohann Senechault","C1H","116.18","176.41","172.1","finale b"
"Hugo Latimier","C1H","116.41","176.52","174.1","finale b"
"Lucas Roisin","C1H","117.05","74.69","179.66","finale b"
"Jean Pierre Bourhis","C1H","117.93","122.14","187.31","finale b"
"Jean Freri","C1H","118.17","234.88","189.41","finale b"
"Antoine Gaillard","C1H","119.91","116.96","204.54","finale b"
"Galaad Pereyron","C1H","119.97","163.23","205.06","finale b"
"Gireg Hamoniaux","C1H","120.15","175.87","206.63","finale b"
"Baptiste Le Poncin","C1H","120.59","141.06","210.46","finale b"
"Nicolas Ducrocq","C1H","123.53","163.27","236.03","finale b"
"Julien Pajaud","C1H","123.76","189.97","238.03","finale b"
"Charly Chassigneux","C1H","124.62","179.9","245.51","finale b"
"Jerome Blanchet","C1H","126.21","149.02","259.33","finale b"
"Anthony Roux","C1H","126.27","177.46","259.85","finale b"
"Yann Rivallant","C1H","127.43","168.61","269.95","finale b"
"Luc Sarramea","C1H","130.05","169.84","292.73","finale b"
"Tom Maffeis","C1H","131.97","130.75","309.44","finale b"
"Cedric Joly","C1H","157.94","95.42","535.31","finale b"
"Hector Combes","C1H","162.09","163.54","571.41","finale b"
"Theo Roisin","C1H","169.48","112.93","635.69","finale b"
"Nathan Hossin","C1H","262.51","155.53","1444.85","finale b"
"Hugo Cailhol-Nicolas Scianimanico","C2H","124.17","105.89","192.5","finale b"
"Charly Chassigneux-Fabien Tournadre","C2H","188.62","281.87","727.59","finale b"
"Jerome Blanchet-Anthony Roux","C2H","205.47","334.73","867.49","finale b"
"Hugo Mouffle-Theau Le Loch","C2H","249.84","340.82","1235.86","finale b"
"Angele Hug","K1D","116.45","107.73","102.74","finale b"
"Lucie Prioux","K1D","120.02","126.99","131.59","finale b"
"Lisa Mouffle","K1D","120.54","127.08","135.8","finale b"
"Solene Graille","K1D","121.78","95.15","145.81","finale b"
"Romane Prigent","K1D","122.3","101.37","150.02","finale b"
"Marjorie Delassus","K1D","123.04","93.7","156.0","finale b"
"Anais Bernardy","K1D","123.95","149.77","163.35","finale b"
"Julie Neime","K1D","124.71","70.83","169.5","finale b"
"Joana Palermo","K1D","125.31","89.72","174.35","finale b"
"Viviana Daille","K1D","126.02","150.56","180.08","finale b"
"Emma Vuitton","K1D","128.47","152.22","199.88","finale b"
"Marine Leveque","K1D","128.48","154.88","199.96","finale b"
"Eva Pietracha","K1D","129.88","186.44","211.28","finale b"
"Doriane Delassus","K1D","131.92","161.43","227.76","finale b"
"Tiphaine Duboc","K1D","133.35","150.63","239.32","finale b"
"Alixe Degremont","K1D","134.05","147.64","244.98","finale b"
"Sarah Despres","K1D","135.87","196.48","259.69","finale b"
"Cecile Tixier","K1D","135.88","179.22","259.77","finale b"
"Charline Berger Martin","K1D","139.65","185.94","290.24","finale b"
"Emeline Oudet","K1D","140.57","132.01","297.67","finale b"
"Agathe Chaumet","K1D","172.49","158.67","555.65","finale b"
"Pol Oulhen","K1H","99.0","61.39","65.72","finale b"
"Thomas Durand","K1H","99.02","84.9","65.9","finale b"
"Guillaume Graille","K1H","99.53","57.56","70.56","finale b"
"Martin Daviet","K1H","100.24","73.52","77.05","finale b"
"Tom Scianimanico","K1H","100.5","66.48","79.42","finale b"
"Vincent Delahaye","K1H","100.65","100.07","80.79","finale b"
"Sebastien Combot","K1H","100.7","36.32","81.25","finale b"
"Titouan Dupras","K1H","100.75","79.01","81.7","finale b"
"Clement Travert","K1H","101.33","80.27","87.0","finale b"
"Mathieu Biazizzo","K1H","101.8","29.92","91.29","finale b"
"Loic Bertoia","K1H","102.49","79.45","97.59","finale b"
"Mathis Soudi","K1H","102.91","119.6","101.43","finale b"
"Enrick Cunsolo","K1H","103.08","76.49","102.98","finale b"
"Benjamin Jacon","K1H","103.16","57.54","103.71","finale b"
"Edgar Prigent","K1H","103.23","70.38","104.35","finale b"
"Theo Desvignes","K1H","103.82","116.27","109.74","finale b"
"Hugo Crepeau","K1H","104.01","106.35","111.48","finale b"
"Quentin Bove","K1H","104.12","101.44","112.48","finale b"
"Kendaor Le Huitou","K1H","104.3","93.89","114.12","finale b"
"Pierre Bourliaud","K1H","104.47","58.27","115.68","finale b"
"Alan Dollo","K1H","104.48","91.07","115.77","finale b"
"William Desnos","K1H","104.51","102.59","116.04","finale b"
"Thibault Marchand","K1H","104.67","85.58","117.5","finale b"
"Aaron Penning","K1H","104.94","120.01","119.97","finale b"
"Paul Cornut-chauvinc","K1H","105.56","92.97","125.63","finale b"
"Pierre Grapotte","K1H","105.59","127.24","125.91","finale b"
"Lucas Latimier","K1H","106.28","81.45","132.21","finale b"
"Florian Busson","K1H","106.33","131.98","132.66","finale b"
"Simon Hene","K1H","106.65","103.86","135.59","finale b"
"Nicolas Abbal","K1H","106.7","81.19","136.04","finale b"
"Hugo Regnier","K1H","107.06","128.89","139.33","finale b"
"Yanis Rainaud","K1H","108.44","142.82","151.93","finale b"
"Theo Foucher","K1H","108.55","118.66","152.94","finale b"
"Robin Pottelette","K1H","108.6","115.76","153.4","finale b"
"Maxime Bottex","K1H","109.16","92.19","158.51","finale b"
"Nicolas Bernardy","K1H","109.33","142.0","160.06","finale b"
"Gregoire Guerin","K1H","110.34","130.71","169.29","finale b"
"Nicolas Baudoin","K1H","111.23","85.31","177.41","finale b"
"Mathieu Monier","K1H","111.35","152.04","178.51","finale b"
"Pierre Hellard","K1H","113.09","342.12","194.4","finale b"
"Matheo Lebaindre","K1H","113.33","154.61","196.59","finale b"
"Hugo Cailhol","K1H","115.46","124.18","216.05","finale b"
"Pierre Marie Roussel","K1H","115.86","146.12","219.7","finale b"
"Mathys Huvelin","K1H","118.7","121.34","245.63","finale b"
"Louison Turmeau","K1H","119.26","91.59","250.75","finale b"
"Isaac Dufrene","K1H","149.86","96.68","530.21","finale b"
"Pierre Giudicelli","K1H","150.18","77.32","533.13","finale b"
"Gurgen Brun","K1H","150.77","77.63","538.52","finale b"
"Charlie Barbier","K1H","154.55","85.45","573.04","finale b"
"Julien Pajaud","K1H","159.53","76.68","618.52","finale b"
"Pol Euzenes","K1H","211.46","164.99","1092.78","finale b"
"Thomas Schmitt","K1H","257.7","71.55","1515.08","finale b"
